id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Name,2-picolinic acid,Acetone,Benzophenone,BioPerformance Certified,Brilliant Cresyl Blue ALD,Coumarin,Cystamine dihydrochloride,D-(+)-Xylose,Dimethyl methyl phosphonate,Ethylene glycol,Glycerol,Glycine,Isonicotinic,L-Alanine,L-Arginine,L-proline,Lead 2 chromate,Malachite_Green_chloride,Mefenamic acid,Melamine,Methyl salicyate,Pluronic F-127,Poly(methyl methacrylate),Poly(vinyl chloride),Poly(vinyl alcohol),Polystyrene standard,Potassium hydroxide,Pyrene,Sodium acetate,Sodium hydroxide,Sodium yttrium oxyfluoride,Sucrose,Sulfanilic acid,Titanium(IV) oxide,Trans-Stilbene,Trimesic acid,Trisodium citrate dihydrate,Urea,慣-D-glucose,"1,2,4-Triazole",2-Aminopyridine,2-Benzoylbenzoic,5-methyl-1h-benzotriazole,Adenine,Benzotriazole,Cerium oxide,L-Lysine,Lead oxide,Poly(allyamine hydrochloride),Poly(ethylene oxide),Potassium permanganate,Trans-Aconitic acid,Trizma pre-set crystals
Excitation,785,785,785,532,532,532,785,785,785,785,532,785,785,785,785,785,785,532,532,532,532,785,532,532,785,532,532,785,785,532,532,785,532,785,532,532,532,532,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785
ini_wn(cm^-1),238.85,238.85,238.85,211.643457,211.643457,211.643457,238.85,238.85,238.85,238.85,211.643457,238.85,238.85,238.85,238.85,238.85,238.85,211.643457,211.643457,211.643457,211.643457,238.85,211.643457,211.643457,238.85,211.643457,211.643457,238.85,238.85,211.643457,211.643457,238.85,211.643457,238.85,211.643457,211.643457,211.643457,211.643457,238.85,238.85,238.85,238.85,238.85,238.85,238.85,238.85,238.85,238.85,238.85,238.85,238.85,238.85,238.85
fin_wn(cm^-1),3215,3215,3215,3894.10691,3894.10691,3894.10691,3215,3215,3215,3215,3894.10691,3215,3215,3215,3215,3215,3215,3894.10691,3894.10691,3894.10691,3894.10691,3215,3894.10691,3894.10691,3215,3894.10691,3894.10691,3215,3215,3894.10691,3894.10691,3215,3894.10691,3215,3894.10691,3894.10691,3894.10691,3894.10691,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215
,36292,76.669,66.713,46374,42540,63197,51251,61.833,51423,41806,43282,29366,49675,25481,31886,26064,29567,38480,80362,30927,86356,25696,44682,39618,25817,77793,42472,89813,25437,40627,55601,42285,114390,35051,48128,79581,47153,48165,59.817,35213,34388,48899,89.441,163.03,76.92,74.373,30106,40352,30697,31037,25387,93705,69.813
,36268,36896,36897,47136,42744,54569,50822,35598,51258,41810,43488,29241,51258,25454,31729,26065,29537,38534,83705,31063,77943,25682,45176,39678,25816,81298,42848,89531,25431,40989,57613,41350,114240,34961,49033,85792,47327,47373,35654,35219,34386,47553,44982,87770,39608,35845,30134,39332,30682,30909,25389,93687,39449
,36229,36913,36746,47608,42869,48393,50432,35617,50992,41810,43864,29047,50992,25414,31602,26064,29483,38596,86962,31174,70412,25654,45441,39724,25815,84870,43134,89163,25422,41446,59928,40113,114010,34838,49672,92884,46778,46869,35636,35209,34385,45631,44977,87272,39448,35821,30167,38175,30657,30701,25391,93677,39507
,36206,36984,36687,48335,42961,45477,50504,35661,50795,41793,44066,28931,50795,25383,31580,26048,29476,38728,92447,31143,64946,25640,45804,39726,25812,88755,43107,89156,25399,41491,62155,38663,113870,34766,50310,104658,46336,46231,35706,35171,34382,43458,45013,86881,39361,35885,30169,37066,30668,30555,25390,93723,39729
,36186,36892,36581,49997,42945,44476,50760,35612,50593,41767,44214,28824,50593,25355,31600,26027,29481,38828,98649,31979,61619,25624,46051,39828,25808,92139,43306,89274,25369,41609,64825,37157,113760,34702,50690,114741,46105,45840,35661,35184,34379,42098,44944,86353,39301,35889,30158,35986,30684,30414,25389,93794,39886
,36160,36880,36517,53320,43146,43846,51026,35639,50319,41737,44382,28684,50319,25338,31599,25992,29437,38969,102082,33366,59104,25578,46410,39857,25803,95260,43558,89497,25337,41395,67688,35612,113570,34623,51707,120076,46580,45487,35655,35167,34376,41099,44840,86022,39248,35886,30143,34971,30637,30229,25388,93867,40147
,36134,36861,36462,56801,43254,43550,51279,35674,50021,41703,44554,28536,50021,25329,31596,25953,29378,39081,101725,33302,57625,25523,46578,39931,25798,96812,43812,89794,25302,41354,70041,34219,113380,34539,54207,120725,46785,45100,35643,35150,34372,40390,44709,85743,39208,35871,30117,34036,30570,30038,25386,93948,40410
,36119,36764,36403,57125,43257,43373,51599,35707,49755,41668,44658,28398,49755,25313,31591,25953,29397,39260,101528,33361,56632,25481,46816,39963,25792,95460,44239,89962,25281,41108,71850,33424,113360,34456,59045,110220,46205,44936,35669,35134,34369,39711,44639,85516,39171,35837,30070,33289,30539,29895,25385,94037,40694
,36110,36649,36348,54733,43214,43158,51830,35738,49498,41632,44747,28267,49498,25303,31575,25963,29438,39363,103341,33811,55931,25443,47001,40053,25786,92499,44437,90193,25267,41012,73446,33040,113390,34380,61568,97831,45108,44599,35707,35118,34367,39221,44588,85292,39140,35798,30007,32658,30514,29774,25385,94125,40946
,36105,36639,36326,51973,43384,43037,51618,35798,49230,41591,44950,28120,49230,25320,31558,25937,29393,39455,108309,33351,56093,25399,47194,39960,25780,87634,44439,90435,25236,40941,74602,33091,113470,34278,59328,92007,44656,44525,35741,35101,34364,38842,44559,85149,39136,35828,29938,32120,30480,29664,25383,94223,41028
,36108,36662,36319,50421,43494,42922,51188,35861,48969,41550,44892,27977,48969,25348,31526,25901,29326,39426,114789,32580,56443,25354,47281,40060,25774,82363,44098,91026,25200,40876,75109,33427,113560,34177,54592,90311,44467,44382,35775,35084,34361,38718,44544,85069,39141,35877,29858,31658,30447,29571,25383,94315,41021
,36118,36654,36295,50123,43686,42868,50439,35880,48737,41511,45237,27897,48737,25415,31435,25870,29335,39388,121035,32122,58278,25312,47339,40061,25765,77658,43870,91742,25212,40756,75380,33973,113440,34177,50924,90316,44484,44094,35813,35070,34358,39056,44520,84903,39117,35878,29751,31243,30409,29487,25384,94354,40927
,36137,36640,36269,50362,43700,42919,49566,35889,48521,41472,45304,27841,48521,25519,31313,25840,29363,39414,122568,32076,61469,25270,47408,40103,25756,74790,43806,93263,25235,40704,75983,34583,113260,34225,49101,90862,44379,44010,35849,35055,34356,39744,44496,84729,39083,35865,29630,30874,30355,29422,25385,94371,40798
,36170,36654,36265,50958,43894,42882,48872,35874,48339,41435,45329,27760,48339,25612,31180,25803,29347,39439,118142,31237,68666,25232,47273,40214,25746,73156,43520,96145,25201,40698,76641,35206,113260,34184,48006,91546,44317,43943,35887,35042,34353,41013,44485,84614,39067,35861,29504,30516,30371,29387,25385,94375,40612
,36214,36669,36272,51882,44024,42845,48308,35883,48184,41397,45483,27679,48184,25734,31033,25767,29321,39499,113413,30254,81213,25196,47452,40165,25736,72507,43540,100330,25153,40687,77586,35717,113300,34131,47579,92718,44484,43806,35922,35028,34350,42602,44479,84513,39056,35857,29373,30190,30313,29383,25386,94369,40430
